INFO  | File run_exp_local.py     | Line 16    | Writing log file to ./exp/GTS_1_0120_145846/log_exp_1010.txt
INFO  | File run_exp_local.py     | Line 17    | Exp instance id = GTS_1_0120_145846
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 10 = 1.0087088346481323
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 20 = 0.963935911655426
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 30 = 0.9170743823051453
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 40 = 0.8226033449172974
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 50 = 0.7356109619140625
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 60 = 0.6937522292137146
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 70 = 0.6690968871116638
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 80 = 0.6225467324256897
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 90 = 0.8573406338691711
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 100 = 0.634745180606842
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 110 = 0.5842460989952087
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 120 = 0.9075870513916016
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 130 = 0.6276877522468567
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 140 = 0.5895693302154541
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 150 = 0.6254698038101196
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 160 = 0.5937439203262329
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 170 = 0.7023587822914124
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 180 = 0.6304913759231567
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 190 = 0.5984411239624023
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 200 = 0.5868666768074036
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 210 = 0.5685290694236755
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 220 = 0.5869162678718567
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 230 = 0.58467036485672
INFO  | File GTS_runner.py        | Line 152   | Avg. Validation Loss = 0.586572
INFO  | File GTS_runner.py        | Line 153   | Current Best Validation Loss = inf
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 10 = 0.6865139603614807
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 20 = 0.5862370729446411
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 30 = 0.5720421671867371
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 40 = 0.5740759372711182
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 50 = 0.5594086647033691
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 60 = 0.5753393769264221
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 70 = 0.5729923248291016
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 80 = 0.5503785610198975
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 90 = 0.6833492517471313
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 100 = 0.5869722962379456
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 110 = 0.5342167019844055
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 120 = 0.7597630023956299
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 130 = 0.5698665976524353
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 140 = 0.5270585417747498
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 150 = 0.6042348742485046
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 160 = 0.5470330119132996
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 170 = 0.6369797587394714
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 180 = 0.5798431038856506
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 190 = 0.5723277926445007
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 200 = 0.5683752298355103
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 210 = 0.5262624621391296
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 220 = 0.5613495707511902
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 230 = 0.5627036094665527
INFO  | File GTS_runner.py        | Line 152   | Avg. Validation Loss = 0.553307
INFO  | File GTS_runner.py        | Line 153   | Current Best Validation Loss = 0.586572
INFO  | File GTS_runner.py        | Line 203   | Avg. Test Loss = 0.546487
