INFO  | File run_exp_local.py     | Line 15    | Writing log file to ./exp\GTS_1_0113_030542\log_exp_1010.txt
INFO  | File run_exp_local.py     | Line 16    | Exp instance id = GTS_1_0113_030542
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 10 = 1.0182594060897827
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 20 = 0.9757609963417053
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 30 = 0.9379546642303467
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 40 = 0.9213505983352661
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 50 = 0.9190024137496948
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 60 = 0.9155608415603638
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 70 = 0.9204788208007812
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 80 = 0.9179815053939819
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 90 = 0.9202237725257874
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 100 = 0.9182189702987671
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 1 iteration 110 = 0.9180795550346375
INFO  | File GTS_runner.py        | Line 152   | Avg. Validation Loss = 0.9179
INFO  | File GTS_runner.py        | Line 153   | Current Best Validation Loss = inf
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 10 = 0.9158101081848145
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 20 = 0.9201186895370483
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 30 = 0.9197906851768494
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 40 = 0.9209579825401306
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 50 = 0.9176661372184753
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 60 = 0.9154636859893799
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 70 = 0.9204300045967102
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 80 = 0.9176734089851379
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 90 = 0.9201942682266235
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 100 = 0.9182321429252625
INFO  | File GTS_runner.py        | Line 125   | Train Loss @ epoch 2 iteration 110 = 0.9180911779403687
INFO  | File GTS_runner.py        | Line 152   | Avg. Validation Loss = 0.917904
INFO  | File GTS_runner.py        | Line 153   | Current Best Validation Loss = 0.9179
INFO  | File GTS_runner.py        | Line 203   | Avg. Test Loss = 0.918767
